brand,model,years,curb_weight_kg,notes
"Ferrari","F40","1987–1992","1100","Сухая масса. Легендарный гиперкар, 2.9L V8 твин-турбо (478 л.с.)"
"Ferrari","288 GTO","1984–1987","1160","Сухая масса. Первый гиперкар Ferrari, 2.9L V8 твин-турбо (400 л.с.)"
"Ferrari","FXX-K","2014–2017","1165","Сухая масса. Трековый гиперкар на базе LaFerrari, гибридная установка (1,050 л.с.)"
"Ferrari","FXX-K Evo","2017–2019","1200","Обновленная версия FXX-K с улучшенной аэродинамикой, масса оценочная"
"Ferrari","250 GTO","1962–1964","880","Сухая масса. Один из самых ценных автомобилей в мире, 3.0L V12 (300 л.с.)"
"Ferrari","250 Testa Rossa","1957–1961","800","Сухая масса. Гоночный автомобиль, 3.0L V12 (300 л.с.)"
"Ferrari","365 GTB/4 Daytona","1968–1973","1200","Сухая масса. Переднемоторное купе, 4.4L V12 (352 л.с.)"
"Ferrari","Dino 246 GT","1969–1974","1080","Среднемоторное купе, 2.4L V6 (195 л.с.)"
"Ferrari","Testarossa","1984–1996","1506","Среднемоторное купе, 5.0L оппозитный 12-цилиндровый (390 л.с.) (3,320 lbs)"
"Ferrari","512 TR","1991–1994","1475","Обновленная версия Testarossa, 5.0L оппозитный 12-цилиндровый (428 л.с.) (3,252 lbs)"
"Ferrari","F355 Berlinetta","1994–1999","1350","Среднемоторное купе, 3.5L V8 (380 л.с.) (2,976 lbs)"
"Ferrari","360 Modena","1999–2005","1290","Сухая масса. Среднемоторное купе, 3.6L V8 (400 л.с.)"
"Ferrari","430 Scuderia","2007–2010","1250","Сухая масса. Трековая версия F430, 4.3L V8 (510 л.с.)"
"Ferrari","599 GTB Fiorano","2006–2012","1690","Переднемоторное купе, 6.0L V12 (620 л.с.) (3,726 lbs)"
"Ferrari","599 GTO","2010–2011","1495","Сухая масса. Лимитированная трековая версия 599, 6.0L V12 (670 л.с.)"
"Ferrari","575M Maranello","2002–2006","1730","Переднемоторное купе, 5.75L V12 (515 л.с.) (3,814 lbs)"
"Ferrari","550 Maranello","1996–2001","1690","Переднемоторное купе, 5.5L V12 (485 л.с.) (3,726 lbs)"
"Ferrari","456 GT","1992–2003","1770","Переднемоторное 4-местное купе, 5.5L V12 (442 л.с.) (3,902 lbs)"
"Fiat","500 (2-е поколение, 1.2, ранние версии)","2007–2013","865","Городской хэтчбек, 1.2 л (69 л.с.), 5-ст. МКПП"
"Fiat","500 (2-е поколение, 1.2, современный)","2015–2025","1015","Городской хэтчбек, 1.2 л (69 л.с.), снаряжённая масса по данным jcwiki.ru"
"Fiat","500 Hybrid (2026)","2026–наст.","1050","Обновлённая версия с мягким гибридом, точная масса ожидает уточнения"
"Fiat","500L (1.4, FWD)","2012–2021","1476","Удлинённая 5-местная версия, 1.4 л (160 л.с.). Масса: 3,254 lbs"
"Fiat","500X (FWD, 2019)","2014–наст.","1346","Компактный кроссовер, передний привод. Масса: 2,967–3,124 lbs"
"Fiat","500X (AWD, 2019)","2014–наст.","1499","Компактный кроссовер, полный привод. Масса: 3,305 lbs"
"Fiat","500e (электрический, ранние версии)","2020–2022","1255","Электрический хэтчбек, батарея 24 кВт·ч, запас хода 180 км"
"Fiat","500e (электрический, 42 кВт·ч)","2023–наст.","1365","Электрический хэтчбек, батарея 42 кВт·ч, запас хода 320 км"
"Fiat","Panda (ранние версии, 1.0)","1980–1986","674","Компактный хэтчбек, 1.0 л, 5-ст. МКПП. Масса по данным motorcar.com.ua"
"Fiat","Panda (Cross 1.3 Multijet 4x4)","2007–2012","1165","Компактный кроссовер, 1.3 л дизель (70 л.с.), полный привод"
"Fiat","Tipo (современный, 1.0 City Sport)","2020–наст.","1315","Современный седан/хэтчбек, 1.0 л (100 л.с.), 5-ст. МКПП"
"Fiat","Tipo (классический, Type 160)","1987–1995","1020–1230","Классический хэтчбек, диапазон массы в зависимости от версии"
"Fiat","600e (электрический)","2023–наст.","1190","Компактный электрический кроссовер, батарея 54 кВт·ч, запас хода 400 км"
"Fiat","Ducato (фургон, L2H2)","2006–наст.","1925","Коммерческий фургон, дизель 2.3 л (130 л.с.)"
"Fiat","Ducato (LWB, 2023)","2021–наст.","2110","Удлинённый фургон, масса по данным carsguide.com.au"
"Fiat","124 Spider (классический)","1966–1985","925","Классический кабриолет, 1.4 л (90 л.с.)"
"Fiat","124 Sport Coupe","1967–1975","995","Купе на базе 124, масса по данным carsguide.com.au"
"Fiat","125 (седан)","1967–1972","1030","Большой семейный седан, 1.6 л (90 л.с.)"
"Fiat","126 (ранние версии, 0.6)","1972–1977","580","Микролитражный хэтчбек, 0.6 л (23 л.с.), задний привод"
"Fiat","126 (поздние версии, 0.7)","1987–2000","645","Микролитражный хэтчбек, 0.7 л (26 л.с.)"
"Fiat","127 (0.9)","1971–1981","705","Популярный супермини, 0.9 л (45 л.с.)"
"Fiat","127 (поздние версии)","1981–1987","710–775","Популярный супермини, диапазон массы в зависимости от версии"
"Fiat","128 (седан, базовый)","1969–1985","750","Первый переднеприводный Fiat, 1.1 л (55 л.с.)"
"Fiat","128 (универсал, 1970)","1969–1985","785","Универсал, масса по данным carsguide.com.au"
"Fiat","128 Coupe","1971–1980","810","Купе на базе 128, 1.1 л (65 л.с.)"
"Fiat","130 (седан)","1969–1978","1550","Представительский седан, 2.9 л (140 л.с.)"
"Fiat","130 Coupe","1971–1978","1600","Представительское купе, 3.2 л (165 л.с.)"
"Fiat","131 (Mirafiori, 2.0 Abarth Rally)","1976–1980","980","Омологационная версия для ралли, 2.0 л (140 л.с.)"
"Fiat","131 (седан, 2.0)","1981–1984","995","Седан среднего размера, 2.0 л (113 л.с.)"
"Fiat","131 (диапазон)","1974–1984","950–1145","Седан среднего размера, диапазон массы по всем версиям"
"Fiat","Croma (1-е поколение)","1985–1996","1095","Лифтбек бизнес-класса, 1.6 л (83 л.с.)"
"Fiat","Croma (2-е поколение)","2005–2011","1535","Универсал бизнес-класса, 2.2 л (147 л.с.)"
"Fiat","Punto (1-е поколение, 1.1)","1993–1999","840","Хэтчбек, 1.1 л (54 л.с.)"
"Fiat","Punto (3-е поколение, 2012)","2012–2018","1145","Хэтчбек, масса по данным jcwiki.ru"
"Fiat","Bravo (1-е поколение)","1995–2001","1045–1192","Хэтчбек гольф-класса, диапазон массы"
"Fiat","Bravo (2-е поколение, 1.6)","2007–2016","1205","Хэтчбек гольф-класса, 1.6 л (105 л.с.)"
"Fiat","Multipla (1.9 JTD)","1998–2010","1300–1565","Минивэн, 1.9 л дизель (115 л.с.)"
"Fiat","Stilo (1.2 16V, 5 дв.)","2001–2010","1145","Хэтчбек, 1.2 л (80 л.с.)"
"Fiat","Stilo (2.4 20V Abarth)","2004–2008","1265","Заряженная версия, 2.4 л (170 л.с.), масса по данным Top Gear"
"Fiat","Freemont (2.0D, FWD)","2011–2016","1778","Кроссовер, 2.0 л дизель (170 л.с.)"
"Firefly","Firefly (базовая версия, 42.1 кВт·ч)","2025–наст.","1490","Компактный хэтчбек, 143 л.с., задний привод, запас хода 420 км (CLTC), сменная батарея"
"Firefly","Firefly (увеличенная батарея, 50 кВт·ч)","2025–наст.","1540","Запас хода до 520 км (CLTC), масса увеличена из-за батареи"
"Firefly","Firefly (концепт)","2024","","Предсерийный концепт, официальные данные о массе не раскрыты"
"Fisker","Karma (гибридный седан)","2011–2012","2400","Подключаемый гибрид, 2.0T + 2 э/м, 403 л.с. (5,300 lbs)"
"Fisker","Surf (концепт, 2011)","2011 (концепт)","2400","Универсал на базе Karma, масса оценочная"
"Fisker","Atlantic (концепт, 2012)","2012 (концепт)","","Более компактный седан, данных о массе нет"
"Fisker","Ocean (Sport, FWD)","2023–2024","2155","Электрический кроссовер, базовая версия, батарея LFP, 4,750 lbs"
"Fisker","Ocean (Ultra, AWD)","2023–2024","2245","Полноприводная версия, 540 л.с., батарея NMC, 4,949 lbs"
"Fisker","Ocean (Extreme, AWD)","2023–2024","2315","Топ-версия, 564 л.с., разгон 0-100 км/ч за 3.7 с, 5,103 lbs"
"Fisker","Ocean Force E","2023–2024","2315","Внедорожная версия на базе Extreme, 5,103 lbs"
"Fisker","PEAR (планировался)","2025 (план)","1600","Компактный электрический хэтчбек, масса оценочная, проект отменён"
"Fisker","Ronin (концепт)","2024 (концепт)","","Электрический кабриолет-гиперкар, проект свёрнут"
"Ford","F-150 (2.7 EcoBoost, SuperCrew 4x4)","2021–наст.","2150","Полноразмерный пикап, V6 2.7T (325 л.с.), 10-ст. АКПП, полный привод, масса: ~4,740 lbs"
"Ford","F-150 (5.0 V8, SuperCab 4x4)","2021–наст.","2313","Полноразмерный пикап, 5.0 V8 (400 л.с.), полный привод, масса: ~5,100 lbs"
"Ford","F-150 Lightning (базовая)","2022–наст.","2809","Электрический пикап, батарея 98 кВт·ч, запас хода 370 км, масса: 6,193 lbs"
"Ford","F-150 Raptor (3.5 EcoBoost)","2021–наст.","2631","Внедорожный пикап, 3.5T V6 (450 л.с.), подвеска FOX, масса: 5,801 lbs"
"Ford","Super Duty (F-250, 6.7 Power Stroke)","2023–наст.","3300","Тяжёлый пикап, дизель 6.7 V8 (475 л.с.), буксировка до 20,000 lbs"
"Ford","Ranger (2.3 EcoBoost, SuperCrew 4x4)","2019–наст.","1989","Среднеразмерный пикап, 2.3T (270 л.с.), полный привод, масса: 4,385 lbs"
"Ford","Ranger Raptor (3.0 EcoBoost V6)","2024–наст.","2100","Внедорожный пикап, 3.0T V6 (405 л.с.), подвеска FOX"
"Ford","Maverick (2.5 Hybrid, FWD)","2022–наст.","1631","Компактный пикап, гибрид 2.5 л (191 л.с.), передний привод, масса: 3,597 lbs"
"Ford","Maverick (2.0 EcoBoost, AWD)","2022–наст.","1698","Компактный пикап, 2.0T (250 л.с.), полный привод, масса: 3,744 lbs"
"Ford","Bronco (2.3 EcoBoost, 2-дверный, базовая)","2021–наст.","1950","Рамный внедорожник, 2.3T (275 л.с.), базовая версия, масса: ~4,299 lbs"
"Ford","Bronco (2.7 EcoBoost, 4-дверный, Wildtrak)","2021–наст.","2268","Рамный внедорожник, 2.7T V6 (330 л.с.), пакет Sasquatch, масса: ~5,000 lbs"
"Ford","Bronco Sport","2021–наст.","1566","Компактный кроссовер на платформе Escape, 2.0T (250 л.с.), масса: 3,453–3,660 lbs"
"Ford","Expedition (3.5 EcoBoost, 4x4)","2018–наст.","2540","Полноразмерный внедорожник, 3.5T V6 (400 л.с.), 3 ряда сидений, масса: 5,600–5,774 lbs"
"Ford","Explorer (2.3 EcoBoost, RWD)","2020–наст.","1956","Среднеразмерный кроссовер, задний привод, базовая версия, масса: 4,313 lbs"
"Ford","Escape (1.5 EcoBoost, FWD)","2020–наст.","1500","Компактный кроссовер, 1.5T (181 л.с.), передний привод, масса: 3,307 lbs"
"Ford","Edge (2.0 EcoBoost, FWD, 2015)","2015–2024","1792","Среднеразмерный кроссовер, 2.0T (245 л.с.), масса: 3,950–4,090 lbs"
"Ford","Puma (1.0 EcoBoost MHEV)","2019–наст.","1198","Компактный кроссовер для Европы, 1.0T MHEV (155 л.с.)"
"Ford","Kuga (2.5 FHEV, FWD)","2019–наст.","1670","Кроссовер для Европы, гибрид 2.5 л (190 л.с.)"
"Ford","Mustang Mach-E (Select, RWD)","2021–наст.","1962","Электрический кроссовер, 266 л.с., батарея 72 кВт·ч, запас хода 370 км, масса: 4,326 lbs"
"Ford","Mustang Mach-E (GT, AWD)","2021–наст.","2267","Электрический кроссовер, 480 л.с., AWD, разгон 0-100 км/ч за 3.8 с, масса: 5,000 lbs"
"Ford","Explorer EV (RWD)","2024–наст.","2000","Электрический кроссовер на платформе MEB (Volkswagen), для Европы"
"Ford","Mustang (2.3 EcoBoost, Fastback)","2024–наст.","1686","Маслкар, 2.3T (315 л.с.), 10-ст. АКПП, масса: 3,718 lbs"
"Ford","Mustang GT (5.0 V8, Fastback)","2024–наст.","1775","Маслкар, 5.0 V8 (486 л.с.), 10-ст. АКПП, масса: 3,914 lbs"
"Ford","Mustang Dark Horse (5.0 V8)","2024–наст.","1800","Трековая версия, 5.0 V8 (500 л.с.), масса: 3,968 lbs"
"Ford","Mustang GT3","2024–наст.","1285","Гоночный автомобиль для IMSA/WEC, 5.4 V8"
"Ford","Mustang (1-е поколение, 289 V8)","1964–1973","1120","Легендарный маслкар, 4.7 V8 (271 л.с.)"
"Ford","GT40","1964–1969","908","Гоночный автомобиль, созданный для победы в Ле-Мане, масса: 816–908 кг"
"Ford","Transit 350 (LWB, HR)","2014–наст.","2400","Полноразмерный фургон, дизель 2.0 EcoBlue, задний привод"
"Ford","Transit Custom (L1H1)","2012–наст.","2000","Компактный фургон, дизель 2.0 EcoBlue"
"Ford","E-Transit (батарея 68 кВт·ч)","2022–наст.","2800","Электрический фургон, запас хода 317 км"
"Ford","Model T","1908–1927","750","Легендарный автомобиль, масса варьируется от 540 до 750 кг"
"Ford","Focus (1.0 EcoBoost)","1998–2025","1220","Бестселлер C-сегмента, 1.0T (125 л.с.)"
"Ford","Fiesta (1.0 EcoBoost)","1976–2023","1123","Популярный супермини, 1.0T (100 л.с.)"
"Ford","Fusion (2.5 FWD)","2006–2020","1472","Среднеразмерный седан, 2.5 л (175 л.с.), масса базовой версии 2014 г."
"Ford","Taurus (3.5 EcoBoost, SHO)","1986–2019","1840","Полноразмерный седан, 3.5T V6 (365 л.с.), AWD"
"Ford","Crown Victoria (4.6 V8)","1992–2011","1840","Легендарный рамный седан, 4.6 V8 (224–250 л.с.)"
"Forthing","T5 (базовая версия, 1.6L MT)","2018–наст.","1395","Компактный кроссовер, 1.6 л (122 л.с.), 5-ст. МКПП. Масса: 1,395 кг."
"Forthing","T5 (диапазон массы)","2018–наст.","1520–1585","Компактный кроссовер, диапазон снаряжённой массы по всем версиям."
"Forthing","T5 Evo (базовая версия)","2021–наст.","1500","Спортивный кроссовер, базовая версия. Масса: 1,500 кг."
"Forthing","T5 Evo (топ-версия)","2021–наст.","1775","Спортивный кроссовер, масса по данным BitAuto."
"Forthing","SX6 (базовая версия, 1.6L)","2016–наст.","1425","7-местный кроссовер, 1.6 л (122 л.с.). Масса: 1,425 кг."
"Forthing","SX6 (диапазон массы)","2016–наст.","1490–1590","7-местный кроссовер, диапазон снаряжённой массы по всем версиям."
"Forthing","Yacht (1.5T, 7 мест)","2022–наст.","1715","Среднеразмерный минивэн, 1.5T (197 л.с.), 7-ст. DCT. Масса: 1,715 кг."
"Forthing","Lingzhi (бензиновая версия)","2001–наст.","1530","Коммерческий минивэн, базовая бензиновая версия. Масса: 1,530 кг."
"Forthing","Lingzhi M5 EV (электрическая)","2022–наст.","1855","Электрический минивэн, батарея 19 кВт·ч, запас хода 90 км. Масса: 1,855 кг."
"Forthing","M5 EV (электрический минивэн)","2022–наст.","2020","Электрический минивэн, батарея 68.4 кВт·ч, запас хода 401 км (NEDC). Масса: 2,020 кг."
"Forthing","Xinghai S7 (электрический)","2024–наст.","1730","Электрический лифтбек, Cx 0.191, запас хода около 500 км. Масса: 1,730 кг."
"Forthing","Friday EV (электрический)","2025–наст.","1900","Компактный электрический кроссовер. Масса около 1,900 кг."
"Forthing","V9 (минивэн)","2026–наст.","2205","Новый минивэн, акцент на комфорт. Масса: 2,205 кг."
"Forthing","S60 EV (электрический седан)","2023–наст.","1658","Электрический седан. Масса: 1,658 кг."
"Foton","Tunland E3 (2.8T Cummins, 4x4)","2019–наст.","2000","Среднеразмерный пикап, дизель 2.8 л (163 л.с.), 6-ст. МКПП, полный привод. Масса: ~2,000 кг."
"Foton","Tunland E5 (2.0T бензин, 4x2)","2021–наст.","1910","Пикап, 2.0 л бензин (238 л.с.), 8-ст. АКПП, задний привод. Масса: 1,910 кг."
"Foton","Tunland G7 (2.0T дизель, 4x4)","2021–наст.","2055","Пикап, 2.0 л дизель (163 л.с.), 6-ст. МКПП, полный привод. Масса: 2,055 кг."
"Foton","Tunland G9 (2.0T дизель, 4x4)","2023–наст.","2130","Флагманский пикап, 2.0 л дизель (163 л.с.), 8-ст. АКПП, полный привод. Масса: 2,130 кг."
"Foton","General F9","2023–наст.","1850–2020","Пикап, 2.0 л бензин (238 л.с.) / дизель (163 л.с.). Масса варьируется от 1,850 до 2,020 кг."
"Foton","General F7","2023–наст.","1800–1950","Младшая версия пикапа General. Масса варьируется от 1,800 до 1,950 кг."
"Foton","Mars 7 / Mars 9 (2.0T дизель)","2023–наст.","2200–2400","Полноразмерный пикап, 2.0 л дизель (224 л.с.), 8-ст. АКПП. Масса: 2,200–2,400 кг."
"Foton","Tunland EV (электрический)","2023–наст.","2300","Электрический пикап, батарея CATL, запас хода ~400 км. Масса: 2,300 кг."
"Foton","Sauvana (2.0T бензин, 4x4)","2016–наст.","2100","Рамный внедорожник, 2.0 л бензин (218 л.с.), 6-ст. АКПП, полный привод. Масса: до 2,100 кг."
"Foton","View CS2 (дизель 2.5)","2010–наст.","2100","Коммерческий микроавтобус, 2.5 л дизель, масса: до 2,100 кг."
"Foton","View EV (электрический)","2020–наст.","2250","Электрический микроавтобус, батарея 50–60 кВт·ч, запас хода до 300 км."
"Foton","Midi (1.5 бензин)","2015–наст.","1550","Компактный минивэн на базе Toyota HiAce. Масса: 1,450–1,550 кг."
"Foton","Xiangling V (1.5 бензин)","2018–наст.","1400","Компактный грузопассажирский фургон. Масса: 1,300–1,400 кг."
"Foton","Auman (седельный тягач, 6×4)","2006–наст.","9500","Тяжёлый грузовик, дизель Cummins 11–13 л (400–560 л.с.). Масса: 8,500–9,500 кг."
"Foton","Aumark S (шасси 4×2)","2010–наст.","4000","Среднетоннажный грузовик полной массой от 6 до 12 тонн. Масса: 2,800–4,000 кг."
"Foton","Ollin (лёгкий грузовик)","2005–наст.","2500","Лёгкий коммерческий грузовик. Дизели 2.0–2.8 л. Масса: 2,000–2,500 кг."
"Foton","e-Aumark (электрический)","2018–наст.","4500","Электрический среднетоннажный грузовик, запас хода 200–300 км. Масса: 3,500–4,500 кг."
"GAC","Empow (1.5T DCT)","2021–наст.","1400","Спортивный седан, 1.5T (170 л.с.), 7-ст. робот. Масса: 1,400 кг."
"GAC","Empow (2.0T AT)","2023–наст.","1500","Седан, 2.0T (261 л.с.), АКПП. Масса: 1,500 кг."
"GAC","Empow (РФ, 2025)","2025–наст.","1475","Версия для РФ, разгон до 100 км/ч за 6.95 с. Масса: 1,475 кг."
"GAC","GA4","2018–2022","1265–1330","Компактный седан. Масса варьируется от 1,265 до 1,330 кг."
"GAC","GS8 (2.0T, передний привод)","2016–наст.","1880–2030","Среднеразмерный кроссовер. Масса: 1,880–2,030 кг."
"GAC","GS8 (2.0T, полный привод)","2021–наст.","2105","Полноприводная версия, 2.0T (231 л.с.), 8-ст. АКПП Aisin. Масса: 2,105 кг."
"GAC","GS8 (PHEV)","2023–наст.","2620","Гибридная версия, 2.0T + э/м, запас хода на электротяге 248 км. Масса: 2,620 кг."
"GAC","Trumpchi S7","2024–наст.","2030","Большой гибридный кроссовер, 4900×1950×1780 мм, база 2880 мм. Масса: 2,030 кг."
"GAC","S9","2025–наст.","2200","Новый флагманский кроссовер, анонсирован для РФ. Масса оценочная: ~2,200 кг."
"GAC","M8 (2.0T, бензин, РФ)","2017–наст.","2150","Премиальный минивэн. Масса: 2,150 кг (версия для РФ)."
"GAC","M8 (2.0T, бензин, Китай)","2017–наст.","2245","Премиальный минивэн. Масса: 2,245 кг (версия для Китая)."
"GAC","M8 (PHEV)","2023–наст.","2620","Гибридный минивэн, 2.0T + э/м, запас хода на электротяге 248 км. Масса: 2,620 кг."
"GAC","M6","2018–наст.","1600–1661","Компактный минивэн, 1.5T (169 л.с.). Масса: 1,600–1,661 кг."
"GAC","E8 (PHEV)","2023–наст.","2175","Гибридный минивэн, запас хода на электротяге 150 км. Масса: 2,175 кг."
"GAC","Aion S (базовая версия)","2019–наст.","1575–1770","Электрический седан. Масса варьируется от 1,575 до 1,770 кг."
"GAC","Aion S (510 км)","2023–наст.","1610","Электрический седан, запас хода 510 км. Масса: 1,610 кг."
"GAC","Aion S Max","2024–наст.","1730","Удлинённый электрический седан. Масса: 1,730 кг."
"GAC","Aion S Plus","2021–наст.","1585–1695","Обновлённый электрический седан. Масса: 1,585–1,695 кг."
"GAC","Aion Y (базовая версия)","2021–наст.","1635–1765","Компактный электрический кроссовер. Масса варьируется от 1,635 до 1,765 кг."
"GAC","Aion Y (63.2 кВт·ч)","2021–наст.","1727–1738","Электрический кроссовер с батареей 63.2 кВт·ч. Масса: 1,727–1,738 кг."
"GAC","Aion V (базовая версия)","2020–наст.","1840","Среднеразмерный электрический кроссовер. Масса: 1,840 кг."
"GAC","Aion V (2026, РФ)","2026–наст.","1915","Версия для РФ, комплектации EX и EX Premium. Масса: 1,915 кг."
"GAC","Aion Hyper SSR","2023–наст.","1990","Электрический суперкар, 1,225 л.с., разгон 0-100 км/ч за 1.9 с. Масса: 1,990 кг."
"GAC","Aion Hyper GT7","2025–наст.","2295","Электрический кроссовер премиум-класса. Масса: 2,295 кг."
"Geely","Atlas Pro (1.5T, 150 л.с., FWD)","2021–наст.","1610","Компактный кроссовер, 1.5T (150 л.с.), 6-ст. АКПП, передний привод. Масса: 1,610 кг."
"Geely","Atlas Pro (1.5T, 177 л.с., AWD)","2021–наст.","1705","Компактный кроссовер, 1.5T (177 л.с.), 7-ст. DCT, полный привод. Масса: 1,705 кг."
"Geely","Monjaro (2.0T, 4WD)","2022–наст.","1770–1855","Премиальный кроссовер, 2.0T (238 л.с.), 8-ст. АКПП, полный привод. Масса: 1,770 кг (базовая) – 1,855 кг (топ-версия)."
"Geely","Monjaro (2.0T, 4WD, топ-версия)","2022–наст.","1855","Премиальный кроссовер, максимальная снаряжённая масса."
"Geely","Coolray (1.5T, FWD)","2021–наст.","1350–1465","Субкомпактный кроссовер, 1.5T (150–180 л.с.), 7-ст. DCT, передний привод. Масса: 1,350 кг (базовая) – 1,465 кг (топ-версия)."
"Geely","Coolray (1.5T, FWD, Flagship Plus)","2021–наст.","1432","Топ-версия Coolray, снаряжённая масса: 1,432 кг."
"Geely","Preface (2.0T, FWD)","2022–наст.","1542–1610","Бизнес-седан D-класса, 2.0T (190 л.с.), 7-ст. DCT. Масса: 1,542 кг (ранние версии) – 1,610 кг (современные)."
"Geely","Preface (2.0T, FWD, 2025)","2025–наст.","1610","Современная версия Preface, снаряжённая масса: 1,610 кг."
"Geely","Emgrand (1.5L, FWD)","2015–наст.","1234–1265","Доступный седан, 1.5 л (103–122 л.с.), 5-ст. МКПП или вариатор. Масса: 1,234 кг (базовая) – 1,265 кг (современные версии)."
"Geely","Emgrand (1.5L, CVT, 2025)","2025–наст.","1265","Седан с вариатором, снаряжённая масса: 1,265 кг."
"Geely","Emgrand (1.5L, MT, базовая)","2015–наст.","1234","Седан с механической коробкой передач, снаряжённая масса: 1,234 кг."
"Geely","Tugella (2.0T, AWD)","2020–наст.","1790–1815","Купеобразный кроссовер, 2.0T (200–238 л.с.), 8-ст. АКПП, полный привод. Масса: 1,790 кг (по некоторым данным) – 1,815 кг (официальные данные)."
"Geely","Tugella (2.0T, AWD, официальные данные)","2020–наст.","1815","Официальная снаряжённая масса Tugella по данным дилеров."
"Geely","Tugella PHEV (1.5T, FWD)","2021–наст.","1810","Подключаемый гибрид, 1.5T (177 л.с.) + электромотор, запас хода на электротяге до 80 км. Масса: 1,810 кг."
"Geely","Starray (2.0T, FWD)","2025–наст.","1645","Новый среднеразмерный кроссовер, 2.0T (218 л.с.), 7-ст. DCT. Масса: 1,645 кг."
"Geely","Preface L (1.5T DHT)","2024–наст.","1625","Гибридный седан, 1.5T + электромотор, электромеханический вариатор. Масса: 1,625 кг."
"Genesis","G70 (2.0T, RWD)","2017–наст.","1725","Спортивный седан, 2.0T (252 л.с.), задний привод. Масса: 1,650–1,725 кг."
"Genesis","G70 (3.3T, AWD)","2017–наст.","1870","Седан, 3.3T V6 (370 л.с.), полный привод. Масса: 1,820–1,870 кг."
"Genesis","G70 Shooting Brake","2021–наст.","1845","Универсал на базе G70. Масса: 1,710–1,845 кг."
"Genesis","G80 (2.5T, RWD)","2020–наст.","1890","Бизнес-седан, 2.5T (300 л.с.), задний привод. Масса: 1,840–1,890 кг."
"Genesis","G80 (3.5T, AWD)","2020–наст.","2055","Седан, 3.5T V6 (375 л.с.), полный привод. Масса: 2,020–2,055 кг."
"Genesis","G80 Electrified","2021–наст.","2325","Электрический седан, 2 э/м (370 л.с.), батарея 87.2 кВт·ч. Масса: 2,265–2,325 кг."
"Genesis","G90 (3.5T, AWD)","2022–наст.","2265","Флагманский седан, 3.5T V6 (375 л.с.), полный привод. Масса: 2,185–2,265 кг."
"Genesis","G90 Long Wheelbase","2022–наст.","2395","Удлинённая версия G90. Масса: 2,305–2,395 кг."
"Genesis","GV60 (Standard, RWD)","2022–наст.","2025","Электрический кроссовер, 1 э/м (225 л.с.), батарея 77.4 кВт·ч. Масса: 2,025 кг."
"Genesis","GV60 (Performance, AWD)","2022–наст.","2180","Электрический кроссовер, 2 э/м (490 л.с.). Масса: 2,180 кг."
"Genesis","GV70 (2.5T, RWD)","2021–наст.","1930","Кроссовер, 2.5T (300 л.с.), задний привод. Масса: 1,890–1,930 кг."
"Genesis","GV70 (3.5T, AWD)","2021–наст.","2090","Кроссовер, 3.5T V6 (375 л.с.), полный привод. Масса: 2,045–2,090 кг."
"Genesis","GV70 Electrified","2022–наст.","2315","Электрический кроссовер, 2 э/м (490 л.с.), батарея 77.4 кВт·ч. Масса: 2,275–2,315 кг."
"Genesis","GV80 (2.5T, RWD)","2020–наст.","2095","Большой кроссовер, 2.5T (300 л.с.), задний привод. Масса: 2,040–2,095 кг."
"Genesis","GV80 (3.5T, AWD)","2020–наст.","2275","Кроссовер, 3.5T V6 (375 л.с.), полный привод. Масса: 2,230–2,275 кг."
"Genesis","GV80 Coupe","2024–наст.","2260","Купеобразный кроссовер. Масса: 2,200–2,260 кг."
"Genesis","GV90 (ожидается)","2025 (план)","2500","Флагманский электрический кроссовер на E-GMP. Масса оценочная: ~2,500 кг."
"GMC","Sierra 1500 (2.7 Turbo Crew Cab 4WD)","2019–наст.","2130","Пикап, 2.7T (310 л.с.), 8-ст. АКПП, полный привод. Масса: 2,130–2,230 кг"
"GMC","Sierra 1500 (5.3 V8 Crew Cab 4WD)","2019–наст.","2340","Пикап, 5.3 V8 (355 л.с.), полный привод. Масса: 2,250–2,340 кг"
"GMC","Sierra 1500 (6.2 V8 Crew Cab 4WD)","2019–наст.","2420","Пикап, 6.2 V8 (420 л.с.), полный привод. Масса: 2,320–2,420 кг"
"GMC","Sierra 1500 AT4X (6.2 V8)","2022–наст.","2490","Внедорожный пикап, подвеска Multimatic DSSV, блокировки, 33-дюймовые шины"
"GMC","Sierra HD (2500HD 6.6 Duramax Crew Cab 4WD)","2020–наст.","3400","Тяжёлый пикап, дизель 6.6 V8 (470 л.с.). Масса: 3,220–3,400 кг"
"GMC","Sierra HD (3500HD 6.6 Duramax Dually)","2020–наст.","3800","Тяжёлый пикап с двойными задними колёсами. Масса: 3,600–3,800 кг"
"GMC","Canyon (2.7 Turbo Elevation 4WD)","2023–наст.","2100","Среднеразмерный пикап, 2.7T (310 л.с.), 8-ст. АКПП. Масса: 2,020–2,100 кг"
"GMC","Canyon AT4X","2023–наст.","2200","Внедорожная версия, подвеска Multimatic DSSV"
"GMC","Canyon Denali","2023–наст.","2150","Премиум-версия, кожаный салон, полный набор опций"
"GMC","Yukon (5.3 V8 2WD)","2021–наст.","2550","Полноразмерный внедорожник, 5.3 V8 (355 л.с.). Масса: 2,450–2,550 кг"
"GMC","Yukon (6.2 V8 4WD)","2021–наст.","2720","Внедорожник, 6.2 V8 (420 л.с.), полный привод. Масса: 2,600–2,720 кг"
